robot_number;x [mm];y [mm];geometry
23236;262.79230484541324;-561.6282311677749;POINT (262.79230484541324 -561.6282311677749)
23237;262.79230484541324;-550.8902311677748;POINT (262.79230484541324 -550.8902311677748)
23238;262.79230484541324;-240.28324192904637;POINT (262.79230484541324 -240.28324192904637)
23239;262.79230484541324;-229.54524192904637;POINT (262.79230484541324 -229.54524192904637)
23240;262.79230484541324;-218.80724192904637;POINT (262.79230484541324 -218.80724192904637)
23241;262.79230484541324;91.79974730968212;POINT (262.79230484541324 91.79974730968212)
23242;262.79230484541324;102.53774730968212;POINT (262.79230484541324 102.53774730968212)
23243;262.79230484541324;113.27574730968212;POINT (262.79230484541324 113.27574730968212)
23244;262.79230484541324;423.8827365484106;POINT (262.79230484541324 423.8827365484106)
23245;262.79230484541324;434.6207365484106;POINT (262.79230484541324 434.6207365484106)
23246;262.79230484541324;445.3587365484106;POINT (262.79230484541324 445.3587365484106)
23247;262.7923048611119;-405.3247666053723;POINT (262.7923048611119 -405.3247666053723)
23248;262.7923048611119;-394.5867666053723;POINT (262.7923048611119 -394.5867666053723)
23249;262.7923048611119;-383.8487666053723;POINT (262.7923048611119 -383.8487666053723)
23250;262.7923048611119;-73.24177736664382;POINT (262.7923048611119 -73.24177736664382)
23251;262.7923048611119;-62.50377736664382;POINT (262.7923048611119 -62.50377736664382)
23252;262.7923048611119;-51.76577736664382;POINT (262.7923048611119 -51.76577736664382)
23253;262.7923048611119;258.84121187208467;POINT (262.7923048611119 258.84121187208467)
23254;262.7923048611119;269.57921187208467;POINT (262.7923048611119 269.57921187208467)
23255;262.7923048611119;280.31721187208467;POINT (262.7923048611119 280.31721187208467)
23256;263.59422860830756;-529.8794345520646;POINT (263.59422860830756 -529.8794345520646)
23257;263.59422860830756;-519.1414345520647;POINT (263.59422860830756 -519.1414345520647)
23258;263.59422860830756;-508.4034345520646;POINT (263.59422860830756 -508.4034345520646)
23259;263.59422860830756;-197.79644531333602;POINT (263.59422860830756 -197.79644531333602)
23260;263.59422860830756;-187.05844531333602;POINT (263.59422860830756 -187.05844531333602)
23261;263.59422860830756;-176.32044531333602;POINT (263.59422860830756 -176.32044531333602)
23262;263.59422860830756;134.28654392539246;POINT (263.59422860830756 134.28654392539246)
23263;263.59422860830756;145.02454392539246;POINT (263.59422860830756 145.02454392539246)
23264;263.59422860830756;155.76254392539246;POINT (263.59422860830756 155.76254392539246)
23265;263.59422860830756;466.369533164121;POINT (263.59422860830756 466.369533164121)
23266;263.59422860830756;477.107533164121;POINT (263.59422860830756 477.107533164121)
23267;263.59422860830756;487.845533164121;POINT (263.59422860830756 487.845533164121)
23268;263.59422863405996;-487.84548385809273;POINT (263.59422863405996 -487.84548385809273)
23269;263.59422863405996;-477.10748385809273;POINT (263.59422863405996 -477.10748385809273)
23270;263.59422863405996;-466.36948385809274;POINT (263.59422863405996 -466.36948385809274)
23271;263.59422863405996;-155.76249461936425;POINT (263.59422863405996 -155.76249461936425)
23272;263.59422863405996;-145.02449461936425;POINT (263.59422863405996 -145.02449461936425)
23273;263.59422863405996;-134.28649461936425;POINT (263.59422863405996 -134.28649461936425)
23274;263.59422863405996;176.32049461936424;POINT (263.59422863405996 176.32049461936424)
23275;263.59422863405996;187.05849461936424;POINT (263.59422863405996 187.05849461936424)
23276;263.59422863405996;197.79649461936424;POINT (263.59422863405996 197.79649461936424)
23277;263.59422863405996;508.4034838580927;POINT (263.59422863405996 508.4034838580927)
23278;263.59422863405996;519.1414838580927;POINT (263.59422863405996 519.1414838580927)
23279;263.59422863405996;529.8794838580927;POINT (263.59422863405996 529.8794838580927)
23280;265.32627941587646;-363.8379399327003;POINT (265.32627941587646 -363.8379399327003)
23281;265.32627941587646;-353.0999399327003;POINT (265.32627941587646 -353.0999399327003)
23282;265.32627941587646;-342.3619399327003;POINT (265.32627941587646 -342.3619399327003)
23283;265.32627941587646;-31.754950693971786;POINT (265.32627941587646 -31.754950693971786)
23284;265.32627941587646;-21.016950693971786;POINT (265.32627941587646 -21.016950693971786)
23285;265.32627941587646;-10.278950693971787;POINT (265.32627941587646 -10.278950693971787)
23286;265.32627941587646;300.3280385447567;POINT (265.32627941587646 300.3280385447567)
23287;265.32627941587646;311.0660385447567;POINT (265.32627941587646 311.0660385447567)
23288;265.32627941587646;321.8040385447567;POINT (265.32627941587646 321.8040385447567)
23289;265.3262794416288;-321.8039892387285;POINT (265.3262794416288 -321.8039892387285)
23290;265.3262794416288;-311.0659892387285;POINT (265.3262794416288 -311.0659892387285)
23291;265.3262794416288;-300.3279892387285;POINT (265.3262794416288 -300.3279892387285)
23292;265.3262794416288;10.278999999999982;POINT (265.3262794416288 10.278999999999982)
23293;265.3262794416288;21.01699999999998;POINT (265.3262794416288 21.01699999999998)
23294;265.3262794416288;31.754999999999985;POINT (265.3262794416288 31.754999999999985)
23295;265.3262794416288;342.3619892387285;POINT (265.3262794416288 342.3619892387285)
23296;265.3262794416288;353.0999892387285;POINT (265.3262794416288 353.0999892387285)
23297;265.3262794416288;363.8379892387285;POINT (265.3262794416288 363.8379892387285)
23298;265.8923048039622;-264.21016256605645;POINT (265.8923048039622 -264.21016256605645)
23299;265.8923048039622;-253.47216256605645;POINT (265.8923048039622 -253.47216256605645)
23300;265.8923048039622;67.87282667267202;POINT (265.8923048039622 67.87282667267202)
23301;265.8923048039622;78.61082667267202;POINT (265.8923048039622 78.61082667267202)
23302;265.8923048039622;399.9558159114005;POINT (265.8923048039622 399.9558159114005)
23303;265.8923048039622;410.6938159114005;POINT (265.8923048039622 410.6938159114005)
23304;265.89230480396225;-285.68616256605645;POINT (265.89230480396225 -285.68616256605645)
23305;265.89230480396225;-274.94816256605645;POINT (265.89230480396225 -274.94816256605645)
23306;265.89230480396225;46.39682667267203;POINT (265.89230480396225 46.39682667267203)
23307;265.89230480396225;57.13482667267203;POINT (265.89230480396225 57.13482667267203)
23308;265.89230480396225;378.4798159114005;POINT (265.89230480396225 378.4798159114005)
23309;265.89230480396225;389.2178159114005;POINT (265.89230480396225 389.2178159114005)
23310;265.89230481966086;-450.7276872423824;POINT (265.89230481966086 -450.7276872423824)
23311;265.89230481966086;-439.9896872423824;POINT (265.89230481966086 -439.9896872423824)
23312;265.89230481966086;-429.2516872423824;POINT (265.89230481966086 -429.2516872423824)
23313;265.89230481966086;-418.5136872423824;POINT (265.89230481966086 -418.5136872423824)
23314;265.89230481966086;-118.6446980036539;POINT (265.89230481966086 -118.6446980036539)
23315;265.89230481966086;-107.90669800365391;POINT (265.89230481966086 -107.90669800365391)
23316;265.89230481966086;-97.16869800365392;POINT (265.89230481966086 -97.16869800365392)
23317;265.89230481966086;-86.43069800365392;POINT (265.89230481966086 -86.43069800365392)
23318;265.89230481966086;213.4382912350746;POINT (265.89230481966086 213.4382912350746)
23319;265.89230481966086;224.1762912350746;POINT (265.89230481966086 224.1762912350746)
23320;265.89230481966086;234.9142912350746;POINT (265.89230481966086 234.9142912350746)
23321;265.89230481966086;245.65229123507459;POINT (265.89230481966086 245.65229123507459)
23322;265.89230481966086;545.521280473803;POINT (265.89230481966086 545.521280473803)
23323;265.89230481966086;556.2592804738031;POINT (265.89230481966086 556.2592804738031)
23324;265.89230481966086;566.997280473803;POINT (265.89230481966086 566.997280473803)
23325;265.89230481966086;577.7352804738031;POINT (265.89230481966086 577.7352804738031)
23326;265.89230484541326;-577.7352311677748;POINT (265.89230484541326 -577.7352311677748)
23327;265.89230484541326;-566.9972311677749;POINT (265.89230484541326 -566.9972311677749)
23328;265.89230484541326;-556.2592311677748;POINT (265.89230484541326 -556.2592311677748)
23329;265.89230484541326;-545.5212311677749;POINT (265.89230484541326 -545.5212311677749)
23330;265.89230484541326;-245.65224192904637;POINT (265.89230484541326 -245.65224192904637)
23331;265.89230484541326;-234.91424192904637;POINT (265.89230484541326 -234.91424192904637)
23332;265.89230484541326;-224.17624192904637;POINT (265.89230484541326 -224.17624192904637)
23333;265.89230484541326;-213.43824192904637;POINT (265.89230484541326 -213.43824192904637)
23334;265.89230484541326;86.43074730968212;POINT (265.89230484541326 86.43074730968212)
23335;265.89230484541326;97.16874730968212;POINT (265.89230484541326 97.16874730968212)
23336;265.89230484541326;107.90674730968212;POINT (265.89230484541326 107.90674730968212)
23337;265.89230484541326;118.64474730968212;POINT (265.89230484541326 118.64474730968212)
23338;265.89230484541326;418.51373654841063;POINT (265.89230484541326 418.51373654841063)
23339;265.89230484541326;429.25173654841063;POINT (265.89230484541326 429.25173654841063)
23340;265.89230484541326;439.98973654841063;POINT (265.89230484541326 439.98973654841063)
23341;265.89230484541326;450.7277365484106;POINT (265.89230484541326 450.7277365484106)
23342;265.8923048611119;-410.6937666053723;POINT (265.8923048611119 -410.6937666053723)
23343;265.8923048611119;-399.9557666053723;POINT (265.8923048611119 -399.9557666053723)
23344;265.8923048611119;-389.2177666053723;POINT (265.8923048611119 -389.2177666053723)
23345;265.8923048611119;-378.47976660537233;POINT (265.8923048611119 -378.47976660537233)
23346;265.8923048611119;-78.61077736664382;POINT (265.8923048611119 -78.61077736664382)
